ID,description,VN(name),VV(version),VT(type),VRC(root cause),VP(position),VAT(attacker type),VAV(attack vector),VR(result)
CVE-2019-13635,The WP Fastest Cache plugin through 0.8.9.5 for WordPress allows wpFastestCache.php and inc/cache.php Directory Traversal.,WP Fastest Cache plugin,through 0.8.9.5 for WordPress,,Directory Traversal,wpFastestCache.php and inc/cache.php,,,
CVE-2019-9446,In the Android kernel in the FingerTipS touchscreen driver there is a possible out of bounds write due to improper input validation. This could lead to a local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation.,Android kernel,,out of bounds write,improper input validation,FingerTipS touchscreen driver,,,local escalation of privilege with System execution privileges needed
CVE-2019-7867,"A stored cross-site scripting vulnerability exists in the admin panel of Magento 2.1 prior to 2.1.18, Magento 2.2 prior to 2.2.9, Magento 2.3 prior to 2.3.2. This can be exploited by an authenticated user with access to manage orders and order status.",Magento,2.1 prior to 2.1.18 |n 2.2 prior to 2.2.9 |n 2.3 prior to 2.3.2,stored cross-site scripting vulnerability,,admin panel,authenticated user with access,,manage orders and order status
CVE-2019-17344,An issue was discovered in Xen through 4.11.x allowing x86 PV guest OS users to cause a denial of service by leveraging a long-running operation that exists to support restartability of PTE updates.,Xen,through 4.11.x,,,,x86 PV guest OS users,leveraging a long-running operation that exists to support restartability of PTE updates,cause a denial of service
CVE-2019-17011,"Under certain conditions, when retrieving a document from a DocShell in the antitracking code, a race condition could cause a use-after-free condition and a potentially exploitable crash. This vulnerability affects Thunderbird < 68.3, Firefox ESR < 68.3, and Firefox < 71.",Thunderbird |n Firefox ESR |n Firefox,< 68.3 |n < 68.3 |n < 71,race condition,retrieving a document from a DocShell in the antitracking code,,,,use-after-free condition and a potentially exploitable crash
CVE-2019-6502,"sc_context_create in ctx.c in libopensc in OpenSC 0.19.0 has a memory leak, as demonstrated by a call from eidenv.",OpenSC,0.19.0,memory leak,,sc_context_create in ctx.c in libopensc,,,
CVE-2019-7712,"An issue was discovered in handler_ipcom_shell_pwd in the Interpeak IPCOMShell TELNET server on Green Hills INTEGRITY RTOS 5.0.4. When using the pwd command, the current working directory path is used as the first argument to printf() without a proper check. An attacker may thus forge a path containing format string modifiers to get a custom format string evaluated. This results in an information leak of memory addresses.",Green Hills INTEGRITY RTOS,5.0.4,,"using the pwd command, the current working directory path is used as the first argument to printf() without a proper check",handler_ipcom_shell_pwd in the Interpeak IPCOMShell TELNET server,,,information leak of memory addresses
CVE-2019-4619,"IBM MQ and IBM MQ Appliance 7.1, 7.5, 8.0, 9.0 LTS, 9.1 LTS, and 9.1 CD could allow a local attacker to obtain sensitive information by inclusion of sensitive data within trace. IBM X-Force ID: 168862.",IBM MQ and IBM MQ Appliance,7.1 |n 7.5 |n 8.0 |n 9.0 LTS |n 9.1 LTS |n 9.1 CD,,,,local attacker,inclusion of sensitive data within trace,obtain sensitive information
CVE-2020-14713,"Vulnerability in the Oracle VM VirtualBox product of Oracle Virtualization (component: Core). Supported versions that are affected are Prior to 5.2.44, prior to 6.0.24 and prior to 6.1.12. Difficult to exploit vulnerability allows high privileged attacker with logon to the infrastructure where Oracle VM VirtualBox executes to compromise Oracle VM VirtualBox. While the vulnerability is in Oracle VM VirtualBox, attacks may significantly impact additional products. Successful attacks of this vulnerability can result in takeover of Oracle VM VirtualBox. CVSS 3.1 Base Score 7.5 (Confidentiality, Integrity and Availability impacts). CVSS Vector: (CVSS:3.1/AV:L/AC:H/PR:H/UI:N/S:C/C:H/I:H/A:H).",Oracle VM VirtualBox product of Oracle Virtualization,Prior to 5.2.44 |n prior to 6.0.24 and prior to 6.1.12,,,Core,high privileged attacker with logon to the infrastructure where Oracle VM VirtualBox executes,,compromise Oracle VM VirtualBox |n takeover of Oracle VM VirtualBox
CVE-2020-16973,"An elevation of privilege vulnerability exists when the Windows Backup Service improperly handles file operations.To exploit this vulnerability, an attacker would first have to gain execution on the victim system, aka 'Windows Backup Service Elevation of Privilege Vulnerability'. This CVE ID is unique from CVE-2020-16912, CVE-2020-16936, CVE-2020-16972, CVE-2020-16974, CVE-2020-16975, CVE-2020-16976.",Windows Backup Service,,privilege vulnerability |n Windows Backup Service Elevation of Privilege Vulnerability,improperly handles file operations,,,gain execution on the victim system,
CVE-2020-24246,Peplink Balance before 8.1.0rc1 allows an unauthenticated attacker to download PHP configuration files (/filemanager/php/connector.php) from Web Admin.,Peplink Balance,before 8.1.0rc1,,,,unauthenticated attacker,,download PHP configuration files (/filemanager/php/connector.php) from Web Admin
CVE-2020-5658,"Resource Management Errors vulnerability in TCP/IP function included in the firmware of MELSEC iQ-R series (RJ71EIP91 EtherNet/IP Network Interface Module First 2 digits of serial number are '02' or before, RJ71PN92 PROFINET IO Controller Module First 2 digits of serial number are '01' or before, RD81DL96 High Speed Data Logger Module First 2 digits of serial number are '08' or before, RD81MES96N MES Interface Module First 2 digits of serial number are '04' or before, and RD81OPC96 OPC UA Server Module First 2 digits of serial number are '04' or before) allows a remote unauthenticated attacker to stop the network functions of the products via a specially crafted packet.",MELSEC iQ-R |n RJ71EIP91 EtherNet/IP Network Interface Module |n RJ71PN92 PROFINET IO Controller Module |n RD81DL96 High Speed Data Logger Module |n RD81MES96N MES Interface Module |n RD81OPC96 OPC UA Server Module,First 2 digits of serial number are '02' or before |n First 2 digits of serial number are '01' or before |n First 2 digits of serial number are '08' or before |n First 2 digits of serial number are '04' or before |n First 2 digits of serial number are '04' or before,Resource Management Errors vulnerability,,TCP/IP function,remote unauthenticated attacker,a specially crafted packet,stop the network functions of the products
CVE-2020-14662,"Vulnerability in the Oracle Financial Services Analytical Applications Infrastructure product of Oracle Financial Services Applications (component: Infrastructure). Supported versions that are affected are 8.0.6-8.1.0. Easily exploitable vulnerability allows low privileged attacker with network access via HTTP to compromise Oracle Financial Services Analytical Applications Infrastructure. Successful attacks of this vulnerability can result in unauthorized update, insert or delete access to some of Oracle Financial Services Analytical Applications Infrastructure accessible data as well as unauthorized read access to a subset of Oracle Financial Services Analytical Applications Infrastructure accessible data and unauthorized ability to cause a partial denial of service (partial DOS) of Oracle Financial Services Analytical Applications Infrastructure. CVSS 3.1 Base Score 6.3 (Confidentiality, Integrity and Availability impacts). CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L).",Oracle Financial Services Analytical Applications Infrastructure product of Oracle Financial Services Applications,8.0.6-8.1.0,,,Infrastructure,low privileged attacker with network access via HTTP,,"compromise Oracle Financial Services Analytical Applications Infrastructure |n unauthorized update, insert or delete access to some of Oracle Financial Services Analytical Applications Infrastructure accessible data as well as unauthorized read access to a subset of Oracle Financial Services Analytical Applications Infrastructure accessible data and unauthorized ability to cause a partial denial of service (partial DOS) of Oracle Financial Services Analytical Applications Infrastructure"
CVE-2020-15698,An issue was discovered in Joomla! through 3.9.19. Inadequate filtering on the system information screen could expose Redis or proxy credentials, Joomla!,through 3.9.19,,Inadequate filtering on the system information screen,,,,expose Redis or proxy credentials
CVE-2020-21733,"Sagemcom F@ST3686 v1.0 HUN 3.97.0 has XSS via RgDiagnostics.asp, RgDdns.asp, RgFirewallEL.asp, RgVpnL2tpPptp.asp.",Sagemcom F@ST3686,v1.0 HUN 3.97.0,XSS,,,,"RgDiagnostics.asp, RgDdns.asp, RgFirewallEL.asp, RgVpnL2tpPptp.asp",
CVE-2020-11905,The Treck TCP/IP stack before 6.0.1.66 has a DHCPv6 Out-of-bounds Read.,Treck TCP/IP stack,before 6.0.1.66,DHCPv6 Out-of-bounds Read,,,,,
CVE-1999-1263,"Metamail before 2.7-7.2 allows remote attackers to overwrite arbitrary files via an e-mail message containing a uuencoded attachment that specifies the full pathname for the file to be modified, which is processed by uuencode in Metamail scripts such as sun-audio-file.",Metamail,before 2.7-7.2,,,,remote attackers,an e-mail message containing a uuencoded attachment that specifies the full pathname for the file to be modified,overwrite arbitrary files
CVE-1999-0533,A DNS server allows inverse queries.,DNS server,,,,,,,inverse queries
CVE-1999-1155,LakeWeb Mail List CGI script allows remote attackers to execute arbitrary commands via shell metacharacters in the recipient email address.,LakeWeb Mail List,,,,CGI script,remote attackers,shell metacharacters in the recipient email address,execute arbitrary commands
CVE-1999-1111,Vulnerability in StackGuard before 1.21 allows remote attackers to bypass the Random and Terminator Canary security mechanisms by using a non-linear attack which directly modifies a pointer to a return address instead of using a buffer overflow to reach the return address entry itself.,StackGuard,before 1.21,,,,remote attackers,using a non-linear attack which directly modifies a pointer to a return address instead of using a buffer overflow to reach the return address entry itself,bypass the Random and Terminator Canary security mechanisms
CVE-1999-1189,"Buffer overflow in Netscape Navigator/Communicator 4.7 for Windows 95 and Windows 98 allows remote attackers to cause a denial of service, and possibly execute arbitrary commands, via a long argument after the ? character in a URL that references an .asp, .cgi, .html, or .pl file.",Netscape Navigator/Communicator,4.7 for Windows 95 and Windows 98,Buffer overflow,,,remote attackers,"a long argument after the ? character in a URL that references an .asp, .cgi, .html, or .pl file","cause a denial of service, and possibly execute arbitrary commands"
CVE-1999-0808,Multiple buffer overflows in ISC DHCP Distribution server (dhcpd) 1.0 and 2.0 allow a remote attacker to cause a denial of service (crash) and possibly execute arbitrary commands via long options.,ISC DHCP Distribution server (dhcpd),1.0 and 2.0,Multiple buffer overflows,,,remote attacker,long options,cause a denial of service (crash) and possibly execute arbitrary commands
CVE-1999-0465,Remote attackers can crash Lynx and Internet Explorer using an IMG tag with a large width parameter.,Lynx and Internet Explorer,,,,,Remote attackers,an IMG tag with a large width parameter,crash 
CVE-1999-1460,BMC PATROL SNMP Agent before 3.2.07 allows local users to create arbitrary world-writeable files as root by specifying the target file as the second argument to the snmpmagt program.,BMC PATROL SNMP Agent,before 3.2.07,,,,local users,specifying the target file as the second argument to the snmpmagt program,create arbitrary world-writeable files as root
CVE-1999-1219,"Vulnerability in sgihelp in the SGI help system and print manager in IRIX 5.2 and earlier allows local users to gain root privileges, possibly through the clogin command.",IRIX,5.2 and earlier,,,sgihelp in the SGI help system and print manager,local users,the clogin command,gain root privileges
CVE-1999-1005,Groupwise web server GWWEB.EXE allows remote attackers to read arbitrary files with .htm extensions via a .. (dot dot) attack using the HELP parameter.,Groupwise,,,,GWWEB.EXE,remote attackers,a .. (dot dot) attack using the HELP parameter,read arbitrary files with .htm extensions
CVE-2000-0023,Buffer overflow in Lotus Domino HTTP server allows remote attackers to cause a denial of service via a long URL.,Lotus Domino HTTP server,,Buffer overflow,,,remote attackers,a long URL,cause a denial of service
CVE-2000-1127,"registrar in the HP resource monitor service allows local users to read and modify arbitrary files by renaming the original registrar.log log file and creating a symbolic link to the target file, to which registrar appends log information and sets the permissions to be world readable.",HP resource monitor service,local users,,,registrar,,renaming the original registrar.log log file and creating a symbolic link to the target file,read and modify arbitrary files
CVE-2000-0126,Sample Internet Data Query (IDQ) scripts in IIS 3 and 4 allow remote attackers to read files via a .. (dot dot) attack.,IIS,3 and 4,,,Sample Internet Data Query (IDQ) scripts,remote attackers,a .. (dot dot) attack,read files
CVE-2000-0657,Buffer overflow in AnalogX proxy server 4.04 and earlier allows remote attackers to cause a denial of service via a long HELO command in the SMTP protocol.,AnalogX proxy server,4.04 and earlier,Buffer overflow,,,remote attackers,a long HELO command in the SMTP protocol,cause a denial of service
CVE-2000-0760,The Snoop servlet in Jakarta Tomcat 3.1 and 3.0 under Apache reveals sensitive system information when a remote attacker requests a nonexistent URL with a .snp extension.,Jakarta Tomcat,3.1 and 3.0 under Apache,,reveals sensitive system information,Snoop servle,remote attacker,requests a nonexistent URL with a .snp extension,
CVE-2000-0068,"daynad program in Intel InBusiness E-mail Station does not require authentication, which allows remote attackers to modify its configuration, delete files, or read mail.",Intel InBusiness E-mail Station,,,does not require authentication,daynad program,remote attackers,,"modify its configuration, delete files, or read mail"
CVE-2000-0451,The Intel express 8100 ISDN router allows remote attackers to cause a denial of service via oversized or fragmented ICMP packets.,Intel express,8100,,,ISDN router,remote attackers,oversized or fragmented ICMP packets,cause a denial of service
CVE-2000-0276,BeOS 4.5 and 5.0 allow local users to cause a denial of service via malformed direct system calls using interrupt 37.,BeOS,4.5 and 5.0,,,,local users,malformed direct system calls using interrupt 37,cause a denial of service
CVE-2000-0246,"IIS 4.0 and 5.0 does not properly perform ISAPI extension processing if a virtual directory is mapped to a UNC share, which allows remote attackers to read the source code of ASP and other files, aka the ""Virtualized UNC Share"" vulnerability.",IIS,4.0 and 5.0,Virtualized UNC Share vulnerability,does not properly perform ISAPI extension processing if a virtual directory is mapped to a UNC share,,remote attackers,,read the source code of ASP and other files
CVE-2000-0739,Directory traversal vulnerability in strong.exe program in NAI Net Tools PKI server 1.0 before HotFix 3 allows remote attackers to read arbitrary files via a .. (dot dot) attack in an HTTPS request to the enrollment server.,NAI Net Tools PKI server,1.0 before HotFix 3,Directory traversal vulnerability,,strong.exe program,remote attackers,a .. (dot dot) attack in an HTTPS request to the enrollment server,read arbitrary files
CVE-2001-0103,"CoffeeCup Direct and Free FTP clients uses weak encryption to store passwords in the FTPServers.ini file, which could allow attackers to easily decrypt the passwords.",CoffeeCup Direct and Free FTP clients,,,uses weak encryption to store passwords in the FTPServers.ini file,,,,easily decrypt the passwords
CVE-2001-0758,"Directory traversal vulnerability in Shambala 4.5 allows remote attackers to escape the FTP root directory via ""CWD ...""  command.",Shambala,4.5,Directory traversal vulnerability,,,remote attackers,CWD ...  command,escape the FTP root directory
CVE-2001-0958,"Buffer overflows in eManager plugin for Trend Micro InterScan VirusWall for NT 3.51 and 3.51J allow remote attackers to execute arbitrary code via long arguments to the CGI programs (1) register.dll, (2) ContentFilter.dll, (3) SFNofitication.dll, (4) register.dll, (5) TOP10.dll, (6) SpamExcp.dll, and (7) spamrule.dll.",Trend Micro InterScan VirusWall,NT 3.51 and 3.51J,Buffer overflows,,eManager plugin,remote attackers,long arguments to the CGI programs |n register.dll |n ContentFilter.dll |n SFNofitication.dll |n register.dll |n TOP10.dll |n SpamExcp.dll |n spamrule.dll,execute arbitrary code
CVE-2001-0379,Vulnerability in the newgrp program included with HP9000 servers running HP-UX 11.11 allows a local attacker to obtain higher access rights.,HP9000 servers running HP-UX,11.11,,,newgrp program,local attacker,,obtain higher access rights
CVE-2001-1342,"Apache before 1.3.20 on Windows and OS/2 systems allows remote attackers to cause a denial of service (GPF) via an HTTP request for a URI that contains a large number of / (slash) or other characters, which causes certain functions to dereference a null pointer.",Apache,before 1.3.20 on Windows and OS/2 systems,,,,remote attackers,an HTTP request for a URI that contains a large number of / (slash) or other characters,cause a denial of service (GPF)
CVE-2001-0452,"BRS WebWeaver FTP server before 0.64 Beta allows remote attackers to obtain the real pathname of the server via a ""CD *"" command followed by an ls command.",BRS WebWeaver FTP server,before 0.64 Beta,,,,remote attackers,"a ""CD *"" command followed by an ls command",obtain the real pathname of the server
CVE-2001-1083,"Icecast 1.3.7, and other versions before 1.3.11 with HTTP server file streaming support enabled allows remote attackers to cause a denial of service (crash) via a URL that ends in . (dot), / (forward slash), or \ (backward slash).",Icecast,1.3.7 |n before 1.3.11,,HTTP server file streaming support enabled,,remote attackers,"a URL that ends in . (dot), / (forward slash), or \ (backward slash)",cause a denial of service (crash)
CVE-2001-0438,Preview version of Timbuktu for Mac OS X allows local users to modify System Preferences without logging in via the About Timbuktu menu.,Timbuktu for Mac OS X,,,,,local users,the About Timbuktu menu, modify System Preferences without logging in
CVE-2001-0967,"Knox Arkeia server 4.2, and possibly other versions, uses a constant salt when encrypting passwords using the crypt() function, which makes it easier for an attacker to conduct brute force password guessing.",Knox Arkeia server,4.2,,uses a constant salt when encrypting passwords using the crypt() function,,,,conduct brute force password guessing
CVE-2001-1185,"Some AIO operations in FreeBSD 4.4 may be delayed until after a call to execve, which could allow a local user to overwrite memory of the new process and gain privileges.",FreeBSD,4.4,,be delayed until after a call to execve,AIO operations,local user,,overwrite memory of the new process and gain privileges
CVE-2002-1725,"phpimageview.php in PHPImageView 1.0 allows remote attackers to obtain sensitive information via the pw=show option, which invokes the phpinfo function.",PHPImageView,1,,,phpimageview.php,remote attackers,the pw=show option,obtain sensitive information
CVE-2002-1033,"Directory traversal vulnerability in none.php for SunPS iRunbook 2.5.2 allows remote attackers to read arbitrary files via a ""..:"" sequence (dot-dot variant) in the argument.",SunPS iRunbook,2.5.2,Directory traversal vulnerability,,none.php,remote attacker,"a ""..:"" sequence (dot-dot variant) in the argument",read arbitrary files
CVE-2002-1865,"Buffer overflow in the Embedded HTTP server, as used in (1) D-Link DI-804 4.68, Dl-704 V2.56b6, and Dl-704 V2.56b5 and (2) Linksys Etherfast BEFW11S4 Wireless AP + Cable/DSL Router 1.37.2 through 1.42.7 and Linksys WAP11 1.3 and 1.4, allows remote attackers to cause a denial of service (crash) via a long header, as demonstrated using the Host header.",,,Buffer overflow,,Embedded HTTP server,remote attackers,a long header,cause a denial of service (crash)
CVE-2002-0172,"/dev/ipfilter on SGI IRIX 6.5 is installed by /dev/MAKEDEV with insecure default permissions (644), which could allow a local user to cause a denial of service (traffic disruption).",SGI IRIX,6.5,,installed by /dev/MAKEDEV with insecure default permissions (644),/dev/ipfilter,local user,,cause a denial of service (traffic disruption
CVE-2002-2132,"Windows File Protection (WFP) in Windows 2000 and XP does not remove old security catalog .CAT files, which could allow local users to replace new files with vulnerable old files that have valid hash codes.",Windows,2000 and XP,,does not remove old security catalog .CAT files,Windows File Protection (WFP),local users,,replace new files with vulnerable old files that have valid hash codes
CVE-2002-1579,"SAP GUI (Sapgui) 4.6D allows remote attackers to cause a denial of service (crash) via a connection to a high-numbered port, which generates an ""unknown connection data"" error.",SAP GUI (Sapgui),4.6D,,,,remote attackers,a connection to a high-numbered port,cause a denial of service (crash)
CVE-2002-0439,"Cross-site scripting vulnerability in CaupoShop 1.30a and earlier, and possibly CaupoShopPro, allows remote attackers to execute arbitrary Javascript and steal credit card numbers or delete items by injecting the script into new customer information fields such as the message field.",CaupoShop |n CaupoShopPro,1.30a and earlier,Cross-site scripting vulnerability,,,remote attackers,injecting the script into new customer information fields,execute arbitrary Javascript and steal credit card numbers or delete items
CVE-2002-1797,"ChaiVM for HP color LaserJet 4500 and 4550 or HP LaserJet 4100 and 8150 does not properly enforce access control restrictions, which could allow local users to add, delete, or modify any services hosted by the ChaiServer.",HP color LaserJet |n HP LaserJet,4500 and 4550 |n 4100 and 8150,,does not properly enforce access control restrictions,ChaiVM,local users,,"add, delete, or modify any services hosted by the ChaiServer"
CVE-2002-0696,"Microsoft Visual FoxPro 6.0 does not register its associated files with Internet Explorer, which allows remote attackers to execute Visual FoxPro applications without warning via HTML that references specially-crafted filenames.",Microsoft Visual FoxPro,6,,does not register its associated files with Internet Explorer,,remote attackers,HTML that references specially-crafted filenames,execute Visual FoxPro applications without warning
CVE-2002-1732,"Multiple cross-site scripting (XSS) vulnerabilities in Actinic Catalog 4.7.0 allow remote attackers to inject arbitrary web script or HTML via (1) the query string argument to certain .pl files, (2) the REFPAGE parameter to ca000007.pl, (3) PRODREF parameter to ss000007.pl, or (4) hop parameter to ca000001.pl.",Actinic Catalog,4.7.0,Multiple cross-site scripting (XSS) vulnerabilities,,,remote attackers,the query string argument to certain .pl files |n the REFPAGE parameter to ca000007.pl |n PRODREF parameter to ss000007.pl |n hop parameter to ca000001.pl,inject arbitrary web script or HTML
CVE-2003-1556,Cross-site scripting (XSS) vulnerability in cc_guestbook.pl in CGI City CC GuestBook allows remote attackers to inject arbitrary web script or HTML via the (1) name and (2) homepage_title (webpage title) parameters.,CGI City CC GuestBook,,Cross-site scripting (XSS) vulnerability,,cc_guestbook.pl,remote attackers,name |n homepage_title (webpage title) parameters,inject arbitrary web script or HTML
CVE-2003-1179,"Multiple PHP remote file inclusion vulnerabilities in Advanced Poll 2.0.2 allow remote attackers to execute arbitrary PHP code via the include_path parameter in (1) booth.php, (2) png.php, (3) poll_ssi.php, or (4) popup.php, the (5) base_path parameter to common.inc.php.",Advanced Poll,2.0.2,Multiple PHP remote file inclusion vulnerabilities,,,remote attackers,include_path parameter |n booth.php |n png.php |n poll_ssi.php |n popup.php |n base_path parameter to common.inc.php,execute arbitrary PHP code
CVE-2003-0421,"Apple QuickTime / Darwin Streaming Server before 4.1.3f allows remote attackers to cause a denial of service (crash) via an MS-DOS device name (e.g. AUX) in a request to HTTP port 1220, a different vulnerability than CVE-2003-0502.",Apple QuickTime / Darwin Streaming Server,before 4.1.3f ,,,,remote attackers,an MS-DOS device name (e.g. AUX) in a request to HTTP port 1220,cause a denial of service (crash
CVE-2003-0037,Buffer overflows in noffle news server 1.0.1 and earlier allow remote attackers to cause a denial of service (segmentation fault) and possibly execute arbitrary code.,noffle news server,1.0.1 and earlier,Buffer overflows,,,remote attackers,,cause a denial of service (segmentation fault) and possibly execute arbitrary code
CVE-2003-1484,"Microsoft Internet Explorer 6.0 SP1 allows remote attackers to cause a denial of service (crash) by creating a DHTML link that uses the AnchorClick ""A"" object with a blank href attribute.",Microsoft Internet Explorer,6.0 SP1,,,,remote attackers,"creating a DHTML link that uses the AnchorClick ""A"" object with a blank href attribute",cause a denial of service (crash)
CVE-2003-0930,"Clearswift MAILsweeper before 4.3.15 does not properly detect filenames in BinHex (HQX) encoded files, which allows remote attackers to bypass intended policy.",Clearswift MAILsweeper,before 4.3.15,,does not properly detect filenames in BinHex (HQX) encoded files,,remote attackers,,bypass intended policy
CVE-2003-1472,Buffer overflow in 3D-FTP client 4.0 allows remote FTP servers to cause a denial of service (crash) and possibly execute arbitrary code via a long banner.,3D-FTP client,4,Buffer overflow,,,remote FTP servers,a long banne, cause a denial of service (crash) and possibly execute arbitrary code
CVE-2003-1540,"WF-Chat 1.0 Beta stores sensitive information under the web root with insufficient access control, which allows remote attackers to obtain authentication information via a direct request to (1) !pwds.txt and (2) !nicks.txt.",WF-Chat,1.0 Beta,,stores sensitive information under the web root with insufficient access control,,remote attackers,direct request to |n !pwds.txt |n !nicks.txt,obtain authentication information
CVE-2003-0700,"The C-Media PCI sound driver in Linux before 2.4.22 does not use the get_user function to access userspace in certain conditions, which crosses security boundaries and may facilitate the exploitation of vulnerabilities, a different vulnerability than CVE-2003-0699.",Linux,2.4.22,,does not use the get_user function to access userspace in certain conditions,C-Media PCI sound driver,,,
CVE-2003-0585,SQL injection vulnerability in login.asp of Brooky eStore 1.0.1 through 1.0.2b allows remote attackers to bypass authentication and execute arbitrary SQL code via the (1) user or (2) pass parameters.,Brooky eStore,1.0.1 through 1.0.2b,SQL injection vulnerability,,login.asp,remote attackers,user |n pass parameters,bypass authentication and execute arbitrary SQL code
CVE-2004-1314,"Safari 1.x allows remote attackers to spoof arbitrary web sites by injecting content from one window into a target window whose name is known but resides in a different domain, as demonstrated using a pop-up window on a trusted web site, aka the ""window injection"" vulnerability, a different vulnerability than CVE-2004-1122.",Safari,1.x,window injection vulnerability,,,remote attackers,"injecting content from one window into a target window whose name is known but resides in a different domain, as demonstrated using a pop-up window on a trusted web site",spoof arbitrary web sites
CVE-2004-2704,"Hastymail 1.0.1 and earlier (stable) and 1.1 and earlier (development) does not send the ""attachment"" parameter in the Content-Disposition field for attachments, which causes the attachment to be rendered inline by Internet Explorer when the victim clicks the download link, which facilitates cross-site scripting (XSS) and possibly other attacks.",Hastymail,1.0.1 and earlier (stable) and 1.1 and earlier (development),,"does not send the ""attachment"" parameter in the Content-Disposition field for attachments",,,victim clicks the download link,attachment to be rendered inline by Internet Explorer
CVE-2004-0156,Format string vulnerabilities in the (1) die or (2) log_event functions for ssmtp before 2.50.6 allow remote mail relays to cause a denial of service and possibly execute arbitrary code.,ssmtp,before 2.50.6,Format string vulnerabilities,,die |n log_event functions,remote mail relays,,cause a denial of service and possibly execute arbitrary code
CVE-2004-0035,SQL injection vulnerability in register.php for Phorum 3.4.5 and earlier allows remote attackers to execute arbitrary SQL commands via the hide_email parameter.,Phorum,3.4.5 and earlier,SQL injection vulnerability,,register.php,remote attackers,the hide_email parameter,execute arbitrary SQL commands
CVE-2004-0652,"BEA WebLogic Server and WebLogic Express 7.0 through 7.0 Service Pack 4, and 8.1 through 8.1 Service Pack 2, allows attackers to obtain the username and password for booting the server by directly accessing certain internal methods.",BEA WebLogic Server and WebLogic Express,7.0 through 7.0 Service Pack 4 |n 8.1 through 8.1 Service Pack 2,,,,,directly accessing certain internal methods,obtain the username and password for booting the server
CVE-2004-0966,"The (1) autopoint and (2) gettextize scripts in the GNU gettext package 1.14 and later versions, as used in Trustix Secure Linux 1.5 through 2.1 and other operating systems, allows local users to overwrite files via a symlink attack on temporary files.",Trustix Secure Linux,1.5 through 2.1,,,autopoint |n gettextize scripts in the GNU gettext package 1.14 and later versions,local users,a symlink attack on temporary files,overwrite files
CVE-2004-0920,"Symantec Norton AntiVirus 2004, and earlier versions, allows a virus or other malicious code to avoid detection or cause a denial of service (application crash) using a filename containing an MS-DOS device name.",Symantec Norton AntiVirus,2004 |n earlier versions,,,,,a filename containing an MS-DOS device name,virus or other malicious code to avoid detection or cause a denial of service (application crash)
CVE-2004-0304,SQL injection vulnerability in browse_items.asp in WebCortex WebStores 2000 6.0 allows remote attackers to gain unauthorized access and execute arbitrary commands via the Search_Text parameter.,WebCortex WebStores,2000 6.0,SQL injection vulnerability,,browse_items.asp,remote attackers,the Search_Text parameter,gain unauthorized access and execute arbitrary commands
CVE-2004-2683,Unspecified vulnerability in the %XML.Utils.SchemaServer class in InterSystems Cache' 5.0 allows attackers to access arbitrary files on a server.,InterSystems Cache',5,,,%XML.Utils.SchemaServer class,,,access arbitrary files on a server
CVE-2004-1026,"Multiple integer overflows in the image handler for imlib 1.9.14 and earlier, which is used by gkrellm and several window managers, allow remote attackers to cause a denial of service (application crash) and execute arbitrary code via certain image files.",imlib,1.9.14 and earlier,Multiple integer overflows,,image handler,remote attackers,certain image files,cause a denial of service (application crash) and execute arbitrary code
CVE-2005-3124,syslogtocern in Acme thttpd before 2.23 allows local users to write arbitrary files via a symlink attack on a temporary file.,Acme thttpd,before 2.23,,,syslogtocern,local users,a symlink attack on a temporary file,write arbitrary files
CVE-2005-3501,The cabd_find function in cabd.c of the libmspack library (mspack) for Clam AntiVirus (ClamAV) before 0.87.1 allows remote attackers to cause a denial of service (infinite loop) via a crafted CAB file that causes cabd_find to be called with a zero length.,Clam AntiVirus (ClamAV,before 0.87.1,,,cabd_find function in cabd.c of the libmspack library (mspack),remote attackers,a crafted CAB file that causes cabd_find to be called with a zero length,cause a denial of service (infinite loop)
CVE-2005-3455,"Multiple unspecified vulnerabilities in Oracle E-Business Suite and Applications 11.5 up to 11.5.10 have unknown impact and attack vectors, as identified by Oracle Vuln# (1) APPS01 in Application Install; (2) APPS02 and (3) APPS03 in Application Object Library; (4) APPS05 and (5) APPS06 in Applications Technology Stack; (6) APPS07 in Applications Utilities; (7) APPS09, (8) APPS10, and (9) APPS11 in HRMS; (10) APPS12 in Mobile Application Foundation; (11) APPS13 in SDP Number Portability; (12) APPS14 in Oracle Service; (13) APPS15 in Service Fulfillment Manage, (14) APPS16 in Universal Work Queue; and (15) APPS20 in Workflow Cartridge.",Oracle E-Business Suite and Applications,11.5 up to 11.5.10,,,,,,
CVE-2005-3647,Folder Guard allows local users to bypass protections by running from or installing to the temporary files directory.,Folder Guard,,,,,local users,running from or installing to the temporary files directory,bypass protections
CVE-2005-3056,TWiki allows arbitrary shell command execution via the Include function,TWiki,,,,,,the Include function,arbitrary shell command execution
